,feature,tfidf,ig_value
524,brgerak,0,0.000797939
525,brharap,0,0.000797939
526,bro,0,0.003179008
527,broad,0,0.000784176
528,brodjonegoro,0,0.007827864
529,brother,0,0.000797939
530,brpendapat,0,0.000797939
531,bru,0,0.000797939
532,brunai,0,0.000797939
533,brunie,0,0.000784176
534,bruntun,0,0.000797939
535,bs,0,0.005726381
536,bsgyrz,0,0.000784176
537,btw,0,0.001750565
538,bu,0,0.001750565
539,buah,0,0.018268088
540,buang,0,0.000797939
541,buat,0,0.042669135
542,buatin,0,0.000797939
543,buaya,0,0.000784176
544,bubar,0,0.001764328
545,budaya,0,0.000784176
546,budayawan,0,0.001596627
547,budiawan,0,0.000784176
548,built,0,0.000797939
549,bujuk,0,0.000797939
550,buka,0,0.0092117
551,bukan,0,0.086758021
552,bukit,0,0.002717986
553,bukittinggi,0,0.000784176
554,bukti,0,0.018271707
555,buku,0,0.000797939
556,bulan,0,0.001764328
557,buldozer,0,0.000966799
558,bulog,0,0.000784176
559,bulu,0,0.000784176
560,bumi,0,0.012971776
561,bumn,0,0.00396268
562,bung,0,0.003937371
563,bungkam,0,0.002396064
564,bungkus,0,0.000784176
565,bungul,0,0.000797939
566,bunser,0,0.000966799
567,bunuh,0,0.000966799
568,bunyi,0,0.000797939
569,bupati,0,0.009628462
570,buru,0,0.004328232
571,buruh,0,0.000797939
572,buruk,0,0.006077578
573,busuk,0,0.000784176
574,buta,0,0.001581705
575,butuh,0,0.033003467
576,bw,0,0.000797939
577,bwiz,0,0.000797939
578,bx,0,0.000797939
579,by,0,0.002535057
580,bye,0,0.000797939
581,byj,0,0.000797939
582,byk,0,0.003179008
583,byr,0,0.000797939
584,cabut,0,0.001596627
585,cacat,0,0.003196252
586,cacing,0,0.000797939
587,cah,0,0.000797939
588,cair,0,0.000966799
589,cairo,0,0.000784176
590,cak,0,0.001569079
591,cakap,0,0.001581705
592,cakhnzz,0,0.000966799
593,cakiminow,0,0.000784176
594,cakup,0,0.000966799
595,california,0,0.000784176
596,calon,0,0.005127598
597,camat,0,0.003151419
598,campur,0,0.000784176
599,canang,0,0.002366198
600,cantik,0,0.002354711
601,cap,0,0.000784176
602,capai,0,0.005127598
603,capek,0,0.000784176
604,capres,0,0.000966799
605,cara,0,0.009997057
